S=1,S=2,S=3,S=4,S=5,t
20.45682412,20.38511008,20.31315723,20.24088896,20.1682029,36
20.43835171,20.36682342,20.29505934,20.22298312,20.15049279,36.1
20.41171043,20.34033931,20.26873545,20.1968227,20.1244994,36.2
20.38204279,20.31082017,20.23936786,20.16760992,20.09544489,36.3
20.34769995,20.27661053,20.20529452,20.13367607,20.06165391,36.4
20.3173843,20.24644283,20.17527775,20.10381339,20.03194871,36.5
20.29104045,20.22026129,20.14926142,20.0779654,20.00627248,36.6
20.26249677,20.19187251,20.12103045,20.04989532,19.97836664,36.7
20.22493402,20.1544355,20.08372215,20.01271883,19.9413252,36.8
20.1915526,20.12119011,20.05061562,19.97975412,19.90850546,36.9
20.17052481,20.10033868,20.02994315,19.95926348,19.8881999,37
20.14784779,20.07783082,20.00760704,19.93710198,19.86621618,37.1
20.12347375,20.05362254,19.98356717,19.91323338,19.84252204,37.2
20.09786585,20.02817547,19.95828354,19.88811604,19.81757413,37.3
20.07109204,20.00155792,19.93182486,19.86181904,19.79144191,37.4
20.03962435,19.97022452,19.90062834,19.83076212,19.76052751,37.5
20.00499831,19.93571552,19.86623888,19.7964948,19.72638508,37.6
19.98243728,19.91331354,19.84399825,19.77441806,19.7044751,37.7
19.97325343,19.90432944,19.83521594,19.76583997,19.69610415,37.8
19.96923792,19.90052761,19.83162977,19.76247184,19.69295698,37.9
19.96836003,19.89987028,19.83119494,19.76226186,19.69297478,38
19.96607639,19.89780105,19.8293421,19.76062781,19.69156247,38.1
19.95343105,19.88534134,19.81707031,19.7485465,19.6796746,38.2
19.93980711,19.87190185,19.80381757,19.73548313,19.66680362,38.3
19.93329736,19.86559607,19.79771792,19.72959212,19.66112422,38.4
19.92439904,19.85689728,19.78922094,19.72129954,19.65303907,38.5
19.91881396,19.85151834,19.78405031,19.71633975,19.64829312,38.6
19.9252833,19.85822011,19.79098634,19.72351231,19.65570509,38.7
19.92090784,19.85404959,19.78702293,19.71975854,19.65216395,38.8
19.91894602,19.85229881,19.78548535,19.71843665,19.65106073,38.9
19.91432907,19.8478881,19.78128313,19.71444552,19.64728375,39
19.92708831,19.86089012,19.79452963,19.72793868,19.66102638,39.1
19.93324512,19.86727494,19.80114445,19.73478588,19.66810891,39.2
19.93294415,19.86718707,19.80127191,19.73513125,19.66867524,39.3
19.9322378,19.86668979,19.80098595,19.73505919,19.6688201,39.4
19.9278696,19.86252161,19.79702017,19.73129849,19.66526756,39.5
19.93541647,19.87029141,19.80501483,19.73952035,19.67371948,39.6
19.93676676,19.87185204,19.80678801,19.74150861,19.67592582,39.7
19.9367417,19.87203274,19.80717672,19.74210791,19.67673871,39.8
19.9351806,19.87067194,19.80601854,19.74115497,19.67599402,39.9
19.93192345,19.86760879,19.80315175,19.73848718,19.67352823,40
19.93947576,19.87537547,19.81113471,19.74668871,19.68195112,40.1
19.95200293,19.8881255,19.82410935,19.75989011,19.69538199,40.2
19.96907488,19.9054304,19.84164884,19.77766626,19.71339745,40.3
20.00324422,19.93986029,19.87634025,19.81262073,19.74861728,40.4
20.04090112,19.97778224,19.91452817,19.8510761,19.7873424,40.5
